美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.190456755884455,115.65251175567892,0
0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.190456755884455,115.66340870473577,0
0,1,4,0,0,0,0,0,2,0,2,3,6,0,0,7,2,0,0,0,0,0,0,0,0,3,0,0,0,0,35.19947027755185,115.38008802925751,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.19947027755185,115.39098497831438,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.40188192737122,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.41277887642809,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.42367582548493,0
1,1,6,1,0,1,0,0,1,1,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,35.19947027755185,115.4345727745418,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.19947027755185,115.44546972359865,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.45636667265552,0
3,0,13,2,1,0,0,1,2,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,35.19947027755185,115.46726362171236,0
1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.4781605707692,0
3,0,7,0,0,0,0,1,4,0,0,0,5,0,6,7,1,4,0,1,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.48905751982608,0
71,5,661,39,26,0,10,4,17,0,11,26,12,5,54,73,9,10,0,1,0,0,0,0,0,2,0,0,0,0,35.19947027755185,115.49995446888292,0
0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.51085141793979,0
3,0,3,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.19947027755185,115.52174836699663,0
2,0,2,1,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.5326453160535,0
2,0,7,3,2,0,0,1,0,0,2,1,3,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.54354226511035,0
0,0,2,0,0,0,0,0,0,0,1,0,9,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.55443921416722,0
0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,35.19947027755185,115.56533616322406,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19947027755185,115.57623311228093,0
2,0,3,2,0,0,1,0,1,0,0,2,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,35.19947027755185,115.58713006133777,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.19947027755185,115.59802701039465,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.19947027755185,115.60892395945149,0
1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.19947027755185,115.61982090850836,0
0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.19947027755185,115.6307178575652,0
22,3,105,15,28,1,9,4,5,2,8,2,0,3,4,21,19,3,0,3,0,0,0,0,0,2,0,0,0,0,35.19947027755185,115.64161480662207,0
29,1,58,8,8,2,3,0,1,0,9,0,2,6,2,8,3,2,0,2,0,0,0,0,0,1,0,0,0,0,35.19947027755185,115.65251175567892,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,35.19947027755185,115.66340870473577,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35.20848379921925,115.38008802925751,0
5,0,8,0,0,0,0,0,1,0,0,6,1,0,0,10,2,2,0,0,0,0,1,0,0,0,0,0,0,0,35.20848379921925,115.39098497831438,0
0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,35.20848379921925,115.40188192737122,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.20848379921925,115.41277887642809,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,0,0,0,0,35.20848379921925,115.42367582548493,0
